Id,SalePrice
1461,124482.4173013325
1462,154833.78048052496
1463,184013.9023772127
1464,197970.97644580132
1465,191709.94254616892
1466,177469.45498158303
1467,174921.7709933277
1468,167754.98297211176
1469,181981.29529093567
1470,121287.05449896313
1471,201812.12570197062
1472,96065.38713224538
1473,94679.42365027046
1474,158986.73132301882
1475,130001.84547414607
1476,409387.3349821155
1477,263856.05014258635
1478,291511.37676648545
1479,257578.97035505308
1480,491126.46358360804
1481,301874.9748660361
1482,204471.3536822182
1483,166169.41533097142
1484,171083.9551630689
1485,164329.28400746608
1486,192063.21205482166
1487,357974.262830216
1488,241568.45957067973
1489,222801.21304806293
1490,224073.3923313606
1491,190126.0289418519
1492,95518.43210774433
1493,172796.6547588304
1494,292652.7446613965
1495,297680.38277026947
1496,233682.8807182289
1497,178373.92862273575
1498,159311.30334462377
1499,155997.7358552538
1500,141891.8483008403
1501,175002.24433787735
1502,136913.5706943894
1503,291468.1285760071
1504,231382.79811959114
1505,223800.76923050723
1506,167264.44434875608
1507,252145.72445433316
1508,191876.76729143487
1509,162427.15210449247
1510,143405.4913641328
1511,143189.32902214554
1512,161998.81098284255
1513,137077.0668792507
1514,168156.71003337792
1515,195108.29476399533
1516,163786.96003616505
1517,150980.77438026588
1518,131449.5912854314
1519,225397.73304905454
1520,134314.7011487716
1521,136657.40119449474
1522,166952.96861683216
1523,116127.73583180462
1524,128643.13647329451
1525,129813.29255337967
1526,122359.56704809856
1527,98931.54396293586
1528,126875.61609338326
1529,149034.1292423966
1530,185356.94412173578
1531,103728.3623808183
1532,98390.321671894
1533,137859.2273407594
1534,119469.9489725963
1535,164911.5866248358
1536,113946.1580662378
1537,69392.80649948248
1538,170443.61041614276
1539,184663.57095560007
1540,79187.05174438235
1541,149404.81890543172
1542,152052.94513045772
1543,234243.98988344462
1544,79495.53473147016
1545,111879.10732132035
1546,128544.2127997686
1547,144142.3895798503
1548,142830.3662932597
1549,115708.91980493125
1550,144183.3082052882
1551,108151.96733113227
1552,134285.1209202371
1553,160500.62314188393
1554,109509.9066675537
1555,171057.3451436607
1556,71854.26367366232
1557,109323.68524167279
1558,91870.06172193367
1559,59456.46239355299
1560,131862.53686577713
1561,119187.71731844885
1562,131982.50211311624
1563,124574.62981407683
1564,153138.9199577558
1565,152820.04791820637
1566,229527.46058477173
1567,74925.38112867204
1568,233986.97654713347
1569,133620.96184956358
1570,130921.83304315821
1571,129560.14862140243
1572,152560.56162338273
1573,229052.8516491208
1574,110453.73130200828
1575,220540.74818017465
1576,234476.1161079919
1577,195472.32561510324
1578,142461.60855670445
1579,146238.11591053428
1580,186634.27146722606
1581,149370.02623772557
1582,124219.14120907975
1583,340530.3056278717
1584,233016.20384528383
1585,142085.46121128503
1586,72212.05991304443
1587,98606.85405617967
1588,145987.60241427808
1589,98864.01713615326
1590,133825.67720940086
1591,98443.77377280114
1592,111956.65542985956
1593,125968.15732048408
1594,119189.32684539903
1595,115361.0432184195
1596,240399.8605950015
1597,189127.72978426015
1598,206743.6798562049
1599,170205.32470880877
1600,177214.61807374898
1601,66068.11088716985
1602,116426.38712877953
1603,74254.12398859534
1604,255632.49414903755
1605,239808.2084645364
1606,175169.29621030384
1607,161465.11158119157
1608,194580.8984726806
1609,197428.38084522868
1610,149559.45091778267
1611,141586.2333732243
1612,164486.86250960684
1613,164543.88190558806
1614,119061.6173032416
1615,81851.40869208745
1616,71861.73904976598
1617,91506.10685330034
1618,114910.4037678611
1619,137144.0999997799
1620,161794.77397417862
1621,138294.01671726443
1622,139543.86562405239
1623,290509.19846562785
1624,221403.955503215
1625,136388.26428091346
1626,170224.5182169304
1627,195258.43200144757
1628,265693.6974803708
1629,178260.64742327022
1630,412780.23544917634
1631,216099.24323049665
1632,252847.28665533
1633,164077.970916933
1634,187299.90867239688
1635,184411.92326433645
1636,162357.35418226392
1637,189852.26475528427
1638,204885.8857202373
1639,179159.92044541764
1640,266905.3535369958
1641,185335.07895487853
1642,216862.49330761586
1643,215308.07363374243
1644,220839.90514866036
1645,179549.05618222896
1646,157398.4904430333
1647,166148.1044527429
1648,130575.9997760413
1649,137142.03479476622
1650,116054.60879220383
1651,122172.28792864972
